X,Y,10/27/2021,12/14/2021,3/4/2022,3/20/2022,3/28/2022,4/13/2022,4/21/2022,1/26/2024,1/29/2024
600467.6993,3628677.4987,27.2498,25.6377,27.5858,30.5598,30.3153,31.4915,32.0545,28.0042,24.1070
600467.6993,3628677.3095,27.2287,25.6163,27.6696,29.5372,30.3561,31.4915,32.0746,28.0460,24.1070
600467.6993,3628677.1202,27.1024,25.5949,27.6906,30.7834,30.2949,31.4714,32.0746,28.0460,24.0852
600467.6993,3628676.9309,27.1445,25.5307,27.8162,31.3907,30.2133,31.4714,31.9943,28.1086,24.0200
600467.6993,3628676.7417,27.1235,25.5307,28.0460,31.4512,30.2337,31.4714,31.9542,28.1086,24.1070
600467.6993,3628676.5524,27.1866,25.5521,28.2544,31.7734,30.2337,31.4714,31.9141,28.1086,23.9765
600467.8886,3628680.5269,27.1656,25.8940,27.5019,27.5439,30.3561,30.2337,32.4348,27.9207,26.2135
600467.8886,3628680.3376,27.2708,25.9153,27.4389,27.7952,30.3357,30.4173,32.3348,27.8789,26.1709
600467.8886,3628680.1484,27.1235,25.8513,27.3969,28.2961,30.3357,30.4580,32.3348,27.8998,26.1709
600467.8886,3628679.9591,27.0603,25.7873,27.4179,28.3377,30.3561,31.1684,32.2948,28.0251,26.2135
600467.8886,3628679.7699,27.1024,25.7873,27.2918,28.1919,30.3561,31.1077,32.2348,28.1294,26.2135
600467.8886,3628679.5806,27.0181,25.6804,27.2498,28.0668,30.3153,31.0065,32.2348,28.1711,26.2560
600467.8886,3628679.3913,27.1024,25.7018,27.2708,28.0042,30.3561,31.4109,32.1747,28.1711,26.1709
600467.8886,3628679.2021,27.1445,25.6163,27.3339,27.9625,30.2745,31.3907,32.1347,28.0668,26.1497
600467.8886,3628679.0128,26.9970,25.6591,27.3339,28.1503,30.2133,31.4915,32.1347,27.9625,26.1922
600467.8886,3628678.8236,26.9548,25.6377,27.3759,27.8789,30.2133,31.4714,32.1146,27.8580,26.1922
600467.8886,3628678.6343,26.9759,25.6377,27.4179,28.6078,30.2745,31.4915,32.0545,27.9625,26.1922
600467.8886,3628678.4450,27.0181,25.7018,27.3969,28.6078,30.2337,31.4714,32.1347,27.9625,26.1709
600467.8886,3628678.2558,27.0181,25.6591,27.4179,28.6286,30.2337,31.4714,32.0946,27.8789,26.1071
600467.8886,3628678.0665,27.1235,25.6377,27.4179,28.6286,30.3153,31.4512,32.0545,27.9416,24.2156
600467.8886,3628677.8773,27.2077,25.6163,27.5229,28.9599,30.3153,31.4512,32.1146,27.9416,24.1504
600467.8886,3628677.6880,27.2918,25.5521,27.4809,29.2077,30.2949,31.4714,32.0946,27.9834,24.1721
600467.8886,3628677.4987,27.2498,25.5093,27.5439,28.7530,30.2745,31.4714,32.0345,28.0042,24.1070
600467.8886,3628677.3095,27.2287,25.6163,27.6277,29.1046,30.2541,31.4915,32.0946,28.0251,24.0852
600467.8886,3628677.1202,27.1024,25.5307,27.6487,28.7322,30.2745,31.4714,32.0345,28.0460,24.1070
600467.8886,3628676.9309,27.1445,25.5735,27.6696,30.5395,30.2133,31.4714,31.9943,28.1294,24.0200
600467.8886,3628676.7417,27.1235,25.5307,27.7952,29.9270,30.2337,31.4109,31.9542,28.0460,24.1070
600467.8886,3628676.5524,27.1866,25.5307,27.8789,30.1724,30.1724,31.3907,31.8940,28.0877,24.0852
600467.8886,3628676.3632,27.1656,25.5521,28.0668,30.0703,30.1111,31.3907,31.9141,28.0251,24.0200
600467.8886,3628676.1739,27.1024,25.4664,28.5871,29.9270,30.1111,31.2897,31.8739,27.9834,23.9547
600467.8886,3628675.9846,27.1866,25.4878,28.9186,27.8580,30.0907,31.2695,31.8739,27.9625,24.0200
600468.0778,3628680.5269,27.1656,25.8513,27.5439,27.5229,30.3153,31.0875,32.5146,27.8998,26.1284
600468.0778,3628680.3376,27.1235,25.8940,27.4809,27.6696,30.2745,30.5191,32.4348,27.9207,26.2135
600468.0778,3628680.1484,27.1024,25.8086,27.4389,27.8789,30.3357,30.5395,32.4148,27.9207,26.1709
600468.0778,3628679.9591,26.9759,25.8300,27.3969,27.7952,30.3153,30.4173,32.3548,28.1086,26.1922
600468.0778,3628679.7699,26.9759,25.7873,27.2498,27.7325,30.3153,30.3765,32.2748,28.1919,26.2135
600468.0778,3628679.5806,26.9548,25.6377,27.1866,27.5648,30.2337,30.4173,32.2548,28.1503,26.1709
600468.0778,3628679.3913,27.0181,25.6591,27.2918,27.4599,30.2949,30.4173,32.1948,28.1086,26.1922
600468.0778,3628679.2021,27.1445,25.6377,27.3129,27.2498,30.3153,31.0470,32.1747,27.9207,26.2135
600468.0778,3628679.0128,27.0813,25.6377,27.3759,27.2708,30.3153,31.3099,32.2748,27.8998,26.1709
600468.0778,3628678.8236,27.1024,25.6377,27.3759,27.5648,30.3153,31.3907,32.1948,27.9625,26.1922
600468.0778,3628678.6343,26.9970,25.6591,27.3759,27.7534,30.3153,31.4109,32.1747,27.8998,26.1922
600468.0778,3628678.4450,27.0181,25.6377,27.3339,28.0877,30.3561,31.4512,32.1747,27.8998,26.1071
600468.0778,3628678.2558,26.9970,25.6163,27.3759,27.9625,30.4173,31.4714,32.1347,27.9416,26.0858
600468.0778,3628678.0665,27.1024,25.6163,27.4179,27.5858,30.2949,31.3705,32.0946,27.9625,24.2590
600468.0778,3628677.8773,27.1235,25.5521,27.4389,27.5858,30.3153,31.3907,32.0746,27.9625,24.1721
600468.0778,3628677.6880,27.1235,25.5735,27.4809,27.7743,30.2949,31.4310,32.0345,27.8998,24.1287
600468.0778,3628677.4987,27.0603,25.5307,27.5019,27.6068,30.2337,31.4512,32.0345,27.9834,24.1504
600468.0778,3628677.3095,27.1235,25.5735,27.6277,27.8162,30.2337,31.4109,32.0545,28.0042,24.1504
