X,Y,10/27/2021,12/14/2021,3/4/2022,3/20/2022,3/28/2022,4/13/2022,4/21/2022,1/26/2024,1/29/2024
600521.6083,3628723.5657,28.1919,25.7232,27.3969,29.3108,28.9599,29.8451,29.1046,27.5229,24.4757
600521.6083,3628723.3765,27.9625,25.7232,27.3549,29.8656,28.8565,29.8656,29.5988,27.5229,24.4540
600521.6083,3628723.1873,27.7115,25.6377,27.3759,30.0703,28.8565,29.8246,29.3314,27.5229,24.4973
600521.6083,3628722.9981,27.4389,25.7446,27.2918,30.6005,28.8772,29.8246,29.1665,27.5229,24.4540
600521.6083,3628722.8089,27.3339,25.6804,27.3129,31.1482,28.8151,29.9475,29.7015,27.5439,25.5949
600521.6083,3628722.6197,27.2708,25.6377,27.2918,30.9660,28.8979,29.8656,29.8041,27.5439,25.6163
600521.6083,3628722.4305,27.1445,25.7232,27.2077,31.0470,28.8979,29.9065,29.9884,27.4599,25.6163
600521.6083,3628722.2414,27.0392,25.7232,27.2498,29.9680,28.6078,29.7836,29.8041,27.5019,25.5521
600521.6083,3628722.0522,26.9548,25.6804,27.2287,29.9680,28.5040,29.6810,30.0089,27.4809,25.5949
600521.6083,3628721.8630,26.8915,25.5521,27.2077,28.9806,28.5455,29.5988,29.9475,27.4809,25.5093
600521.6083,3628721.6738,26.7647,25.4236,27.2077,28.8772,28.6493,29.7426,29.9270,27.4599,25.4878
600521.6083,3628721.4846,26.7224,25.4236,27.1656,29.3108,28.7530,29.7836,30.9457,27.5439,25.5521
600521.6083,3628721.2954,26.7224,25.3592,27.1866,29.8861,28.7530,29.7836,31.0672,27.4809,25.5093
600521.6083,3628721.1062,26.6589,25.4021,27.1656,30.1520,28.7115,29.5372,31.4512,27.4179,25.4878
600521.6083,3628720.9170,26.6589,25.4021,27.0603,32.1747,28.6908,29.2077,31.4915,27.4389,25.4878
600521.6083,3628720.7278,26.5954,25.4878,27.0813,33.3496,29.4961,29.5166,31.4915,27.4809,25.5735
600521.7975,3628725.2685,29.4549,25.5735,27.4389,30.5395,28.5663,29.8861,29.8041,27.5648,24.3891
600521.7975,3628725.0793,29.2077,25.5307,27.4389,30.4987,28.5040,29.8451,30.1316,27.5439,24.3457
600521.7975,3628724.8901,28.9393,25.4664,27.4389,30.4784,28.6078,29.7836,30.1316,27.5439,24.3457
600521.7975,3628724.7009,28.6908,25.4878,27.3969,30.4376,28.6908,29.8861,29.9270,27.5858,24.3674
600521.7975,3628724.5117,28.3169,25.5521,27.3759,30.2133,28.6908,29.9065,30.0294,27.5648,24.3457
600521.7975,3628724.3225,27.8789,25.6591,27.3549,28.7944,28.7115,29.9475,30.1111,27.6277,24.2807
600521.7975,3628724.1333,28.1086,25.7232,27.3759,28.7944,28.6908,29.8246,29.9065,27.5858,24.2590
600521.7975,3628723.9441,28.0460,25.8513,27.3339,30.0498,28.8565,29.9065,29.4138,27.5648,24.2807
600521.7975,3628723.7549,28.2128,25.8300,27.3129,30.2949,28.8772,29.8041,29.0839,27.5858,24.3024
